source_code	source_name	source_region	source_desc	source_ref	source_link	hom_cat	hom_start	hom_end	hom_comment
00	Not known		Not known			HOM00			
01	University of Melbourne thesis	S E Australia	Early Australian series adjusted to be compatible  with BoM's ACORN 2 reference climate series	Ashcroft et al. (2012) Australian Meteorological and Oceanographic Journal	http://www.bom.gov.au/jshess/docs/2012/ashcroft.pdf	HOM03	1910	Ongoing	Homogenized? Partial ; Not all later subsets from ACORN - thus not all homogenized!
10	WWR/CRU	Global	1980s global temperature database construction by the Climatic Research Unit - many now under new Data Source Codes	"Jones (1994), Jones & Moberg (2003) and Brohan et al. (2006); homogeneity of sites assessed in Jones et al. (1985, 1986)."	US DoE TR022 and TR027 (available: https://crudata.uea.ac.uk/st/)	HOM01/HOM04			Homogenized? Some ; Mostly by comparison with reference series - documentation produced
11	University of Arkansas	Manhattan	Long daily temperature series for Kansas	Burnette et al. (2010) J. Climate	https://doi.org/10.1175/2009JCLI2445.1	HOM03			Homogenized? Yes ; A complex compilation of records from a wide geographical region
30	GHCN v2	Global (part)	Global Historical Climatology Network (GHCN v2) dataset is now superseded by GHCN v4		https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-2	HOM03			"Homogenized? Yes ; Subject to series length, automated homohenization used PHA"
31	GHCN v2	Global (part)	Global Historical Climatology Network (GHCN v2) dataset is now superseded by GHCN v4		https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-2	HOM03			"Homogenized? Yes ; Subject to series length, automated homohenization used PHA"
32	DECADE Project	Bolivia/Peru	Homogenized Tx and Tn series		https://www.geography.unibe.ch/research/climatology_group/research_projects/decade/index_eng.html	HOM03			Homogenized? Yes ; ACMANT3 homogenization
33	NACD	N Atlantic	North Atlantic Climatological Dataset - several variables included	Frich et al. (1996)	https://www.dmi.dk/fileadmin/Rapporter/SR/sr96-1.pdf	HOM03		ca. 1990	Homogenized? Yes ; SNHT homogenization
34	NORDKLIM	Nordic countries	Nordic region climate data - several variables included	Tuomenvirta et al. (2001)	https://www.met.no/publikasjoner/met-report/met-report-2001/_/attachment/download/4d30d9f1-5a34-4ee3-916c-777d92343a50:539d36aea91a7d0f28042339b7b7b745bba20b81/MET-report-08-2001.pdf	HOM03	ca. 1890	ca. 2000	Homogenized? Yes ; Possibly SNHT homogenization?
35	GloSAT	Global	Mixed sources acquired for the GloSAT Project			HOM00			Homogenized? Yes
36	CHTD	Canada	Canadian Historical Temperature Database - see AHCCD under DSC 42	Vincent & Gullett (1999)	https://doi.org/10.1002/(SICI)1097-0088(199910)19:12<1375::AID-JOC427>3.0.CO;2-0	HOM03			Homogenized? Yes ; Canadian Regression Model
37	WWR	Global	World Weather Records decadal release - processed 2006 - decade 1991-2000		https://www.ncdc.noaa.gov/wdcmet/data-access-search-viewer-tools/world-weather-records-wwr-clearinghouse	HOM00			Homogenized? No ; WWR series; some data issues may be present
38	NMAs (various)		Series acquired from various academic visitors to CRU			HOM00			Homogenized? No
39	IRI	Ethiopia	"Ethiopian series through a request to the International Research Inst., New York"		https://iri.columbia.edu/	HOM01			Homogenized? No ; Data came from synoptic series
40	BoM	Australia	BoM high quality daily dataset; most were later replaced by ACORN series		ftp://ftp.bom.gov.au/anon/home/ncc/www/change/HQdailyT/	HOM03	1910		Homogenized? Yes
41	NIWA	New Zealand	13 long homog. Series; several were later replaced by DSC 88		https://niwa.co.nz/our-science/climate/information-and-resources/nz-temp-record/review/changes/seven-station-series-temperature-data	HOM03			Homogenized? Yes ; Rhoades and Salinger homogenization
42	AHCCD	Canada	Adjusted and Homogenized Canadian Climate Data reference temperature series; many replaced by later AHCCD version		10.1175/1520-0442(2002)015<1322:HODTOC>2.0.CO;2	HOM03			Homogenized? Yes ; Multiple linear regression and penalized maximal test > homogeneity
43	RIHMI-WDC	Russian Fed.	This Russian dataset in CRUTEM has a complex history; website likely not updated	Razuvaev & Bulgina (2009)	http://meteo.ru/english/climate/cl_data.php - most recent updates from GSOD	HOM02		2012?	Homogenized? Yes
44	RCC-SSA	Subset of S America	Series provided by the Regional Climate  Center for the South of South America		http://www.climax-sa.org/ppts/KOM_2016-oct/CLIMAX-KOM_RCC-SSA_PaulaEtala.pdf and/or contact mms@smn.gov.ar	HOM02	1961	2016?	Homogenized? Yes
45	SNIFFER	Scotland/N Ireland	Climate series prepared by the Climatic Research Unit for Scottish & NI Forum for Env. Research	Jones & Lister (2004)	https://crudata.uea.ac.uk/cru/data/sniffer/	HOM03		2003	Homogenized? Yes ; Pairwise comparisons homogeneity
46	Kenya Met. Dept	Kenya	"Following a request to the Kenya Met. Department, a few series were provided"		director@meteo.go.ke	HOM00			Homogenized? No
47	University of Copenhagen	Greenland	Early observations from the S and W coasts of Greenland have extended the series	"Vinther et al. (2006); Cappeln (2010, 2011)"	https://crudata.uea.ac.uk/cru/data/greenland/	HOM03		2013	Homogenized? Yes ; Homogeneity checked via differences between time series for neighbouring stations
48	DMI	Danish territories	"DMI publish homogenized series for Greenland, Denmark and Faero"	"Cappeln (2010, 2011)"	Reports usually available from http://research.dmi.dk/publications/other-publications/reports/	HOM03			Homogenized? Yes
49	HISTALP Project	Greater Alpine region	Historical Instrumental Climatological Surface Time Series for the Greater Alpine Region	Böhm et al. (2010)	http://www.zamg.ac.at/histalp/	HOM02			Homogenized? Yes ; Homogeneity relies on tests by others (e.g. NACD) and some visual checks
50	NSIDC	Central Asia	National Snow and Ice Data Center (focus on Central Asia)	Williams & Konovalov (2008)	https://nsidc.org/data/G02174	HOM02	1879	2003	Homogenized? Yes ; Homogeneity relies on GHCN (therefore probably PHA)
51	RIHMI	RUSSIA (USSR)	Collection of 223 former USSR temperature series; now mostly replaced by other sources		https://www.osti.gov/dataexplorer/biblio/dataset/1394937	HOM01			Homogenized? Probably no
53	NMAs (various)	Miscellaneous	Data received from national met. agencies after consultations - 2010			HOM01			Homogenized? No
