Table of Source Codes used in CRUTEM station database

This table corresponds to the two-digit source codes are used in version CRUTEM.5.0.0.0 and all earlier versions.

Only an overall source code is given for each station, which indicates the dominant source.
For some stations, all values will have come from that single source.
For other stations, values will have come from multiple sources, and the overall source code just indicates the dominant source.

For each source, a homogeneity indicator is given, together with approximate start and end years of the period to which homogenisation may have been applied (in some cases this may be unknown or too complex to express as a simple start and end year), and any further comments.

Homogeneity indicators:
HOM00=homogeneity has not been assessed or is unknown
HOM01=homogeneity not assessed, but data comes from a reliable source (e.g. an NMS or WWR) that probably checked for obvious problems (in the sense that they wouldn't have provided series which had obviously problems).
HOM02=homogeneity assessed and inhomogeneities corrected at source (by NMS or a regional effort in e.g. Nordic countries, China etc.) but method details were not available to us
HOM03=homogeneity assessed and inhomogeneities corrected at source via documented methods
HOM04=homogeneity assessed and inhomogeneities corrected by CRU using documented methods


Source code table
00 | source_name="Not known"            | source_region=""                     | source_desc="Not known"                                | source_ref=""                     | source_link=""                                         | hom_cat="HOM00" | hom_start=""     | hom_end=""     | hom_comment=""                    
42 | source_name="AHCCD"                | source_region="Canada"               | source_desc="Adjusted and Homogenized Canadian Climate Data reference temperature series (see below)" | source_ref="" | source_link="10.1175/1520-0442(2002)015<1322:HODTOC>2.0.CO;2" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; Multiple linear regression and penalized maximal test > homogeneity"

43 | source_name="RIHMI-WDC"            | source_region="Russian Fed."         | source_desc="This Russian dataset in CRUTEM has a complex history - website likely not updated" | source_ref="Razuvaev & Bulgina (2009)" | source_link="http://meteo.ru/english/climate/cl_data.php  - Olga Bulygina died a few years ago (website) - most recent updates from GSOD" | hom_cat="HOM02" | hom_start="" | hom_end="2012?" | hom_comment="Homogenized? Yes"

44 | source_name="RCC-SSA"              | source_region="Subset of S America"  | source_desc="Series provided by the Regional Climate  Center for the South of South America" | source_ref="" | source_link="http://www.climax-sa.org/ppts/KOM_2016-oct/CLIMAX-KOM_RCC-SSA_PaulaEtala.pdf and/or contact mms@smn.gov.ar (Maru - this is Maria's preferred name)" | hom_cat="HOM02" | hom_start="1961" | hom_end="2016?" | hom_comment="Homogenized? Yes"

45 | source_name="SNIFFER"              | source_region="Scotland/N Ireland"   | source_desc="Climate series prepared by the Climatic Research Unit for Scottish & NI Forum for Env. Research" | source_ref="Jones & Lister (2004)" | source_link="https://crudata.uea.ac.uk/cru/data/sniffer/" | hom_cat="HOM03" | hom_start="" | hom_end="2003" | hom_comment="Homogenized? Yes ; Pairwise comparisons homogeneity"

46 | source_name="Kenya Met. Dept"      | source_region="Kenya"                | source_desc="Following a request to the Kenya Met. Department, a few series were provided" | source_ref="" | source_link="director@meteo.go.ke"     | hom_cat="HOM00" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

47 | source_name="University of Copenhagen" | source_region="Greenland"        | source_desc="Early observations from the S and W coasts of Greenland have extended the series" | source_ref="Vinther et al. (2006); Cappeln (2010, 2011)" | source_link="https://crudata.uea.ac.uk/cru/data/greenland/" | hom_cat="HOM03" | hom_start="" | hom_end="2013" | hom_comment="Homogenized? Yes ; Homogeneity checked via differences between time series for neighbouring stations"

48 | source_name="DMI"                  | source_region="Danish territories"   | source_desc="DMI publish homogenized series for Greenland, Denmark and Faero" | source_ref="Cappeln (2010, 2011)" | source_link="DMI climate contact is John Cappelen - reports usually available from http://research.dmi.dk/publications/other-publications/reports/" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes"

49 | source_name="HISTALP Project"      | source_region="Greater Alpine region" | source_desc="Historical Instrumental Climatological Surface Time Series for the Greater Alpine Region" | source_ref="Böhm et al. (2010)" | source_link="http://www.zamg.ac.at/histalp/" | hom_cat="HOM02" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; Homogeneity relies on tests by others (e,g, NACD above) and some visual checks"

50 | source_name="NSIDC"                | source_region="Central Asia"         | source_desc="National Snow and Ice Data Center (focus on Central Asia)" | source_ref="Williams & Konovalov (2008)" | source_link="https://nsidc.org/data/G02174" | hom_cat="HOM02" | hom_start="1879" | hom_end="2003" | hom_comment="Homogenized? Yes ; Homogeneity relies on GHCN - so PHA it seems"

51 | source_name="RIHMI ###"            | source_region="RUSSIA (USSR)"        | source_desc="Collection of 223 former USSR temperature series - mostly present under new Scodes" | source_ref="" | source_link="https://www.osti.gov/dataexplorer/biblio/dataset/1394937" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No?"

53 | source_name="NMAs (various)"       | source_region="Miscellaneous"        | source_desc="Data received from national met. agencies after a consultations - 2010" | source_ref="" | source_link=""                               | hom_cat="HOM01" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

54 | source_name="Bekryaev"             | source_region="High lat. - N Hem."   | source_desc="Voeikov Main Geophysical Observatory/St. Petersburg State University" | source_ref="Bekryaev et al. (2010)" | source_link="https://doi.org/10.1175/2010JCLI3297.1" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No? ; Many sources of data - some of which would be homogenized"

55 | source_name="KNMI"                 | source_region="Netherlands"          | source_desc="KNMI long series towards the Central Netherlands Temperature Series" | source_ref="" | source_link="https://cp.copernicus.org/articles/7/527/2011/" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; Homogeneity via differences between time series and a reference time series"

56 | source_name="NMI"                  | source_region="Norway"               | source_desc="Met. Norway homogenized data series"      | source_ref=""                     | source_link="Eklima (registration required) is at:  http://sharki.oslo.dnmi.no/portal/page?_pageid=73,39035,73_39049&_dad=portal&_schema=PORTAL" | hom_cat="HOM03" | hom_start="" | hom_end="ca. 2012" | hom_comment="Homogenized? Yes ; Homogeneity via SNHT"

57 | source_name="BoM, ACORN"           | source_region="Australia"            | source_desc="The ACORN dataset is produced by BoM - now  ACORN 2 data (second version)" | source_ref="" | source_link="https://doi.org/10.1175/2010JCLI3297.1" | hom_cat="HOM03" | hom_start="1910" | hom_end="2016" | hom_comment="Homogenized? Yes ; ACORN v2 - released 2018 - uses multiple detection methods in parallel"

58 | source_name="ISTI"                 | source_region="Global - selected series" | source_desc="Data held by the Internalional Surface Temperature Initiative - usually Tx and Tn only" | source_ref="" | source_link="See http://www.surfacetemperatures.org/  and  ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

59 | source_name="IIF-UMSA Bolivia"     | source_region="Bolivia"              | source_desc="Eight series originally received via personal contact - some now with diffearent Scodes" | source_ref="" | source_link="https://www2.atmos.umd.edu/~mandrade/resume/resume.html" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No?"

60 | source_name="SACA&D"               | source_region="South Asian-Australia" | source_desc="KNMI-BMKG (Indonesia) S.E. Asian Climate Assessment and Dataset (11 participants/15 countries)" | source_ref="" | source_link="http://sacad.database.bmkg.go.id/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No ; Homogeneity is only checked for blended series"

61 | source_name="ISTI"                 | source_region="Germany + Poland"     | source_desc="Long series from the International Surface Temperature Initiative (monthly data) -  given a separate S code" | source_ref="" | source_link="ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage2/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

62 | source_name="ISTI-Colonial"        | source_region="Malaysia"             | source_desc="Colonial era series (Petersen and Griffiths, 1996) - here via ISTI - separate Scode used" | source_ref="" | source_link="There is further reference to Colonial era data below (Scode=79) - ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage2/colonialera/" | hom_cat="HOM00" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

63 | source_name="University of Alabama" | source_region="Uganda"              | source_desc="Digitized east African series - colonial era" | source_ref=""                 | source_link="There are series from Christy in ISTI - ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage2/east-africa/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No? ; Series examined and compared with series from different sources"

64 | source_name="USHCN"                | source_region="Contiguous USA"       | source_desc="NOAA climate dataset used to quantify national and regional changes in temperature" | source_ref="" | source_link="https://www.ncdc.noaa.gov/ushcn/data-access" | hom_cat="HOM03" | hom_start="ca. 1893" | hom_end="Ongoing" | hom_comment="Homogenized? Yes ; PHA algorithm used for homogeneity"

65 | source_name="AHCCD see above"      | source_region="Canada"               | source_desc="Adjusted and Homogenized Canadian Climate Data reference temperature series" | source_ref="" | source_link="https://www.researchgate.net/publication/249644161_A_Second_Generation_of_Homogenized_Canadian_Monthly_Surface_Air_Temperature_for_Climate_Trend_Analysis" | hom_cat="HOM03" | hom_start="" | hom_end="Ongoing" | hom_comment="Homogenized? Yes ; Multiple linear regression and penalized maximal test > homogeneity"

66 | source_name="SDATS"                | source_region="Spain"                | source_desc="Spanish Daily Adjusted Temperature Series - 22 long series" | source_ref=""   | source_link="https://library.wmo.int/doc_num.php?explnum_id=9377" | hom_cat="HOM03" | hom_start="" | hom_end="ca. 2012" | hom_comment="Homogenized? Yes ; SNHT used for homogeneity - original paper lists end date as 2003"

67 | source_name="CLARIS"               | source_region="Chile"                | source_desc="CLARIS -La Plata Basin - this project produced a long term daily hydro-meteorological dataset" | source_ref="" | source_link="http://www.cima.fcen.uba.ar/ClarisLPB/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

68 | source_name="CMA, China"           | source_region="China"                | source_desc="Contacts at the China Meteorological Administration have provided homogenized Tx and Tn for China" | source_ref="" | source_link="liqingx5@mail.sysu.edu.cn" | hom_cat="HOM02" | hom_start="ca. 1951" | hom_end="Ongoing" | hom_comment="Homogenized? Yes ; MASH software used for homogenization?"

69 | source_name="CMA, China"           | source_region="China"                | source_desc="Collaboration with researchers in China provided long homogenized series - many now with other Scodes" | source_ref="" | source_link="https://iopscience.iop.org/article/10.1088/1748-9326/aa68e8" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; Rhtests software + others used towards homogeneity"

70 | source_name="ISTI"                 | source_region="Argentina"            | source_desc="International Surface Temperature Initiative acquisitions" | source_ref=""    | source_link="ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/daily/stage2/argentina/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

71 | source_name="ISTI"                 | source_region="Uruguay"              | source_desc="International Surface Temperature Initiative acquisitions (11 series) - most acquired new Scodes" | source_ref="" | source_link="ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/daily/stage2/uruguay/" | hom_cat="HOM00" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

72 | source_name=""                     | source_region="India"                | source_desc="Tom Melvin"                               | source_ref=""                     | source_link=""                                         | hom_cat="HOM01" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

73 | source_name="ECA&D"                | source_region="Greater Europe"       | source_desc="European Climate Assessment and Dataset - dataset extracted and supplied by KNMI" | source_ref="" | source_link="https://www.ecad.eu/" | hom_cat="HOM01" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

74 | source_name="Climatic Research Unit" | source_region="Falkland Is."       | source_desc="Data series put together for a project on Falklands ecology" | source_ref=""  | source_link="https://crudata.uea.ac.uk/cru/data/falklands/" | hom_cat="HOM03" | hom_start="" | hom_end=""    | hom_comment="Homogenized? Yes ; Penalized Maximum F Test used"

75 | source_name=""                     | source_region="Chile"                | source_desc="Tom Melvin"                               | source_ref=""                     | source_link=""                                         | hom_cat="HOM00" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

76 | source_name="OPCC"                 | source_region="Pyrenees"             | source_desc="A new homogenized climate database for the Pyrenees (Climate Change Observatory in the Pyrenees)" | source_ref="" | source_link="https://static-m.meteo.cat/wordpressweb/wp-content/uploads/2015/04/29082117/Prohom-et-al_EMS2014_v2.pdf" | hom_cat="HOM03" | hom_start="" | hom_end="ca. 2010" | hom_comment="Homogenized? Yes ; Homogenization by HOMER"

77 | source_name="ISTI"                 | source_region="Japan"                | source_desc="Data held by the Internalional Surface Temperature Initiative - Tg available" | source_ref="" | source_link="ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/daily/stage2/japan/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

78 | source_name="ISTI"                 | source_region="Uruguay"              | source_desc="Data held by the Internalional Surface Temperature Initiative - Tx and Tn" | source_ref="" | source_link="ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/daily/stage2/uruguay/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

79 | source_name="ISTI"                 | source_region="Colonial"             | source_desc="Data held by the Internalional Surface Temperature Initiative - Tx and Tn" | source_ref="" | source_link="ftp://ftp.ncdc.noaa.gov/pub/data/globaldatabank/monthly/stage2/colonialera/" | hom_cat="HOM00" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

80 | source_name="SASSCAL"              | source_region="Angola"               | source_desc="Southern African Science Service Centre for Climate Change and Adaptive Land Management" | source_ref="" | source_link="https://www.sasscal.org/" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"  

81 | source_name=""                     | source_region="Zimbabwe"             | source_desc="Series provided by a visitor to the Climatic Research Unit - Tx and Tn" | source_ref="" | source_link=""                               | hom_cat="HOM01" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

82 | source_name="Climatic Research Unit" | source_region="African series"     | source_desc="Early 1990s database additions by the Climatic Research Unit - Tx and Tn" | source_ref="" | source_link=""                             | hom_cat="HOM02" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No ; Probably from GHCN adjusted - if so, then PHA used for homogeneity"

83 | source_name="Taiwan Central Weather Bureau" | source_region="Taiwan"      | source_desc="Data downloaded from the Taiwan Central Weather Bureau" | source_ref=""       | source_link="https://www.cwb.gov.tw/V8/C/"             | hom_cat="HOM01" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

84 | source_name="Climatic Research Unit" | source_region="Global"             | source_desc="Data extracted grom GHCN v2"              | source_ref=""                     | source_link="https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-2" | hom_cat="HOM02" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; Probably from GHVN adjusted - if so, then PHA used for homogeneity"

85 | source_name="ASEAN"                | source_region="ASEAN countries"      | source_desc="Data extracted from a CD-ROM distributed by the Malaysian Meteorological Service - all ASEAN nations" | source_ref="" | source_link="No direct link to the ASEAN Compendium of Climate Statistics!!!!!" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

86 | source_name="IANIGLA-CONICET"      | source_region="Andean/Chilean"       | source_desc="The result of collaboration with dendrochronologists in Chile and Argentina produced shared Tg series" | source_ref="" | source_link="See https://www.pnas.org/content/117/29/16816 - This is related material!" | hom_cat="HOM00" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

87 | source_name="Egyptian Met. Authority" | source_region="Egypt"             | source_desc="Series due to collaboration between met authority personnel and the Climatic Research Unit" | source_ref="" | source_link=""           | hom_cat="HOM01" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

88 | source_name="NIWA"                 | source_region="New Zealand"          | source_desc="Homogenized series supplied on request to NIWA ( National Institute of Water and Atmospheric Research)" | source_ref="" | source_link="https://niwa.co.nz/our-science/climate/information-and-resources/nz-temp-record/review/changes/seven-station-series-temperature-data" | hom_cat="HOM03" | hom_start="" | hom_end="Ongoing" | hom_comment="Homogenized? Yes ; Rhoades and Salinger homogenization"

89 | source_name="IMS"                  | source_region="Israel"               | source_desc="Data received following a request to the Israeli Met. Service" | source_ref="" | source_link="https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/joc.6125" | hom_cat="HOM03" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes ; ACMANT + HOMER used towards homogenization - see paper"

90 | source_name="LACA&D"               | source_region="Some of S. America"   | source_desc="Latin American Climate Assessment and Dataset" | source_ref=""                | source_link="https://www.knmi.nl/research/observations-data-technology/projects/the-international-climate-assessment-dataset" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

91 | source_name="GHCN v4"              | source_region="Chile"                | source_desc="GHCN v4 series used to replace one of the LACA&D Chilean series" | source_ref="" | source_link=""                                      | hom_cat="HOM01" | hom_start=""     | hom_end=""     | hom_comment="Homogenized? No"     

92 | source_name="SMHI"                 | source_region="Sweden"               | source_desc="Swedish meteorological and Hydrological Institute downloads (SMHI portal) - many received new Scodes" | source_ref="" | source_link="https://www.smhi.se/data/meteorologi/ladda-ner-meteorologiska-observationer/#param=airtemperatureInstant,stations=all" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

94 | source_name="CLIMAT"               | source_region="Global"               | source_desc="Data extracted from CLIMAT Bulletins - to include series new to CRUTEM - some have received new Scodes" | source_ref="" | source_link="https://www.metoffice.gov.uk/hadobs/crutem4/data/climat_summary/index.html" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

95 | source_name="Icelandic Met. Office" | source_region="Iceland"             | source_desc="Data downloaded from the IMO website - also, some further long series provided on request" | source_ref="" | source_link="https://en.vedur.is/climatology/data/#a" | hom_cat="HOM03/HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? Yes/No - some"

96 | source_name="CARIWIG"              | source_region="Caribbean"            | source_desc="Caribbean Weather Impacts Group - observed climate series" | source_ref=""    | source_link="http://cariwig.caribbeanclimate.bz/point/  also see http://www.cariwig.org/ncl_portal/#history_data_viewer" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

97 | source_name="BMKG"                 | source_region="Indonesia"            | source_desc="Climate data available from BMKG and can be downloaded (Badan Meteorologi, Klimatologi, dan Geofisika)" | source_ref="" | source_link="http://dataonline.bmkg.go.id/home" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

98 | source_name="WWR"                  | source_region="Global"               | source_desc="The 2001-2010 decadal release of World Weather Records data is available online" | source_ref="" | source_link="https://www.ncdc.noaa.gov/wdcmet/data-access-search-viewer-tools/world-weather-records-wwr-clearinghouse" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"

99 | source_name="GHCN v4"              | source_region="Global"               | source_desc="Global Historic Climatology Network - version v4 data available as adjusted and non adjusted" | source_ref="" | source_link="https://www.ncdc.noaa.gov/data-access/land-based-station-data/land-based-datasets/global-historical-climatology-network-monthly-version-4" | hom_cat="HOM01" | hom_start="" | hom_end="" | hom_comment="Homogenized? No"
